,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,grand gaube,-20.01,57.66,71.01,72.0,3.0,5.99,MU
1,hermanus,-34.42,19.23,48.0,78.0,88.0,5.99,ZA
2,barrow,71.29,-156.79,50.0,76.0,1.0,19.46,US
3,magnolia,33.27,-93.24,93.0,46.0,23.0,4.0,US
4,busselton,-33.65,115.33,52.0,82.0,96.0,14.36,AU
5,caramay,10.18,119.24,79.39,80.0,100.0,3.06,PH
6,port alfred,-33.59,26.89,53.11,74.0,58.0,31.32,ZA
8,rikitea,-23.12,-134.97,71.67,75.0,19.0,7.38,PF
9,norman wells,65.28,-126.83,60.8,55.0,75.0,9.17,CA
10,sorland,67.67,12.69,50.59,75.0,96.0,6.11,NO
11,mataura,-46.19,168.86,35.01,97.0,95.0,4.0,NZ
12,san patricio,19.22,-104.7,82.4,78.0,90.0,23.04,MX
13,bayan,46.08,127.4,73.0,98.0,100.0,15.55,CN
14,tiksi,71.69,128.87,45.5,95.0,100.0,2.06,RU
15,guerrero negro,27.98,-114.06,84.34,47.0,0.0,17.07,MX
16,ushuaia,-54.8,-68.3,35.6,80.0,75.0,14.99,AR
17,yellowknife,62.46,-114.35,68.0,52.0,20.0,6.93,CA
18,vaini,-21.2,-175.2,75.2,73.0,75.0,12.75,TO
19,bredasdorp,-34.53,20.04,44.6,81.0,57.0,12.75,ZA
20,coquimbo,-29.95,-71.34,51.8,76.0,90.0,3.36,CL
21,jamestown,42.1,-79.24,71.01,82.0,75.0,3.36,US
22,port hardy,50.7,-127.42,77.0,53.0,20.0,12.75,CA
23,soure,-0.72,-48.52,80.53,82.0,6.0,14.38,BR
24,carnarvon,-24.87,113.63,51.8,100.0,16.0,5.82,AU
25,rio cuarto,-33.13,-64.35,62.6,20.0,0.0,13.87,AR
26,butaritari,3.07,172.79,81.91,63.0,1.0,8.68,KI
27,karasburg,-28.02,18.75,42.48,83.0,23.0,15.75,NA
28,ugoofaaru,5.67,73.0,82.44,74.0,99.0,7.02,MV
29,saint george,37.1,-113.58,111.99,5.0,1.0,4.25,US
30,albany,42.6,-73.97,75.0,72.0,7.0,4.21,US
31,hasaki,35.73,140.83,86.0,94.0,75.0,6.93,JP
32,aklavik,68.22,-135.01,64.4,63.0,20.0,8.05,CA
33,bathsheba,13.22,-59.52,78.8,94.0,75.0,9.17,BB
34,tosya,41.02,34.04,53.19,53.0,0.0,1.68,TR
35,kamina,-8.74,24.99,67.59,26.0,0.0,1.95,CD
36,bethel,41.37,-73.41,69.8,88.0,90.0,4.7,US
37,mahanje,-9.93,35.33,59.59,77.0,46.0,2.28,TZ
38,itarema,-2.92,-39.92,78.33,75.0,29.0,16.31,BR
39,nikolskoye,59.7,30.79,51.8,100.0,1.0,2.24,RU
40,thompson,55.74,-97.86,64.4,55.0,75.0,6.93,CA
41,hobart,-42.88,147.33,48.99,93.0,75.0,5.82,AU
43,palmer,42.16,-72.33,75.2,64.0,75.0,9.17,US
44,tiarei,-17.53,-149.33,84.2,58.0,20.0,5.82,PF
46,kapaa,22.08,-159.32,84.2,62.0,20.0,14.99,US
47,atuona,-9.8,-139.03,78.37,76.0,9.0,15.41,PF
48,saint-philippe,-21.36,55.77,66.2,63.0,20.0,6.93,RE
49,mahebourg,-20.41,57.7,69.8,77.0,20.0,9.17,MU
50,punta arenas,-53.15,-70.92,37.4,69.0,75.0,16.11,CL
51,moerai,-22.43,-151.33,70.74,72.0,82.0,15.28,PF
52,arraial do cabo,-22.97,-42.03,75.2,78.0,40.0,5.82,BR
53,east london,-33.02,27.91,57.13,61.0,55.0,23.64,ZA
54,melbourne,28.08,-80.61,80.6,94.0,40.0,11.41,US
55,coahuayana,18.73,-103.68,75.2,88.0,90.0,11.41,MX
56,bambous virieux,-20.34,57.76,71.01,77.0,20.0,9.17,MU
57,fortuna,40.6,-124.16,64.0,86.0,100.0,5.01,US
58,wanaka,-44.7,169.15,41.0,82.0,96.0,4.05,NZ
59,broome,42.25,-75.83,75.0,49.0,1.0,8.05,US
61,lincoln,40.8,-96.67,84.99,45.0,1.0,10.29,US
62,westport,41.14,-73.36,70.0,97.0,36.0,9.86,US
63,codrington,-38.27,141.97,48.96,91.0,55.0,12.33,AU
64,bluff,-46.6,168.33,35.01,97.0,98.0,4.0,NZ
65,salme,28.04,85.09,71.6,100.0,75.0,4.7,NP
66,ponta do sol,32.67,-17.1,73.4,73.0,20.0,5.82,PT
67,airai,-8.93,125.41,60.67,67.0,0.0,3.09,TL
68,new norfolk,-42.78,147.06,48.99,90.0,79.0,1.99,AU
69,faanui,-16.48,-151.75,78.44,72.0,17.0,12.06,PF
70,puerto ayora,-0.74,-90.35,66.0,93.0,94.0,8.01,EC
71,qaanaaq,77.48,-69.36,42.85,61.0,100.0,6.96,GL
72,black river,18.03,-77.85,86.0,74.0,40.0,9.17,JM
74,cape town,-33.93,18.42,50.0,70.0,40.0,5.82,ZA
75,kenai,60.55,-151.26,64.4,72.0,20.0,14.99,US
76,alofi,-19.06,-169.92,78.8,65.0,75.0,17.22,NU
77,yeppoon,-23.13,150.73,66.2,72.0,0.0,5.82,AU
78,gonaives,19.45,-72.68,82.38,78.0,14.0,3.49,HT
79,ozernovskiy,51.5,156.52,54.68,83.0,76.0,2.73,RU
80,georgetown,5.41,100.34,77.0,88.0,20.0,1.12,MY
81,hithadhoo,-0.6,73.08,83.5,74.0,42.0,6.67,MV
82,okaihau,-35.32,173.78,59.0,3.0,100.0,14.0,NZ
83,kodiak,57.79,-152.41,64.4,59.0,1.0,9.17,US
85,kruisfontein,-34.0,24.73,50.0,66.0,97.0,13.0,ZA
86,severo-yeniseyskiy,60.37,93.04,46.98,76.0,0.0,2.95,RU
87,chuy,-33.7,-53.46,47.21,81.0,0.0,6.6,UY
88,wildwood,38.58,-90.66,86.0,55.0,75.0,5.82,US
89,japura,-0.32,102.35,73.58,92.0,72.0,2.42,ID
90,cayenne,4.93,-52.33,80.6,78.0,76.0,5.82,GF
91,san cristobal,7.77,-72.22,86.0,62.0,40.0,4.7,VE
92,calca,-13.33,-71.95,57.42,37.0,37.0,7.76,PE
93,isangel,-19.55,169.27,82.4,78.0,90.0,9.17,VU
94,los llanos de aridane,28.66,-17.92,73.99,83.0,3.0,11.41,ES
95,pevek,69.7,170.31,38.77,84.0,100.0,15.32,RU
96,baghdad,33.34,44.4,78.8,34.0,0.0,5.82,IQ
97,visby,57.64,18.3,63.0,93.0,89.0,6.93,SE
98,christchurch,-43.53,172.63,52.0,71.0,99.0,17.22,NZ
99,barcelos,41.54,-8.62,68.0,100.0,75.0,8.05,PT
100,emerald,-23.53,148.17,64.4,34.0,0.0,5.82,AU
